total_sales,onsale_web,price,stock_quantity,stock_status
0.0,0,45.0,30,instock
0.0,0,45.0,9,instock
3.0,1,24.8,0,outofstock
0.0,1,18.9,46,instock
0.0,1,11.6,4,instock
4.0,1,27.0,58,instock
8.0,1,41.0,24,instock
10.0,1,69.8,4,instock
1.0,1,38.6,22,instock
1.0,1,26.7,8,instock
0.0,1,19.0,26,instock
1.0,1,23.2,36,instock
0.0,1,39.1,18,instock
1.0,1,44.0,15,instock
3.0,1,17.5,14,instock
0.0,1,30.0,0,outofstock
0.0,1,8.1,133,instock
1.0,1,10.7,41,instock
0.0,1,10.9,0,outofstock
96.0,1,49.0,0,outofstock
1.0,1,35.5,36,instock
0.0,1,83.0,13,instock
0.0,1,59.0,21,instock
0.0,1,79.5,20,instock
5.0,1,225.0,0,outofstock
3.0,1,79.5,11,instock
11.0,1,126.5,2,instock
12.0,1,51.6,5,instock
0.0,1,39.0,0,outofstock
0.0,1,77.0,0,outofstock
1.0,1,85.6,0,outofstock
1.0,1,49.5,6,instock
0.0,1,49.5,7,instock
0.0,1,49.5,13,instock
0.0,1,57.0,2,instock
0.0,1,59.8,0,outofstock
0.0,1,27.5,8,instock
0.0,1,62.0,7,instock
0.0,1,59.0,7,instock
0.0,1,59.0,0,outofstock
1.0,1,59.0,6,instock
0.0,1,44.0,0,outofstock
1.0,1,62.5,1,instock
13.0,1,176.0,8,instock
2.0,1,108.5,2,instock
0.0,1,68.1,6,instock
0.0,1,157.0,3,instock
1.0,1,104.0,6,instock
3.0,1,28.1,96,instock
19.0,1,21.7,60,instock
0.0,1,28.5,3,instock
0.0,1,67.2,9,instock
0.0,1,109.6,7,instock
23.0,1,43.9,0,outofstock
2.0,1,61.6,0,outofstock
1.0,1,41.8,61,instock
0.0,1,26.5,0,outofstock
4.0,1,16.1,31,instock
7.0,1,31.5,26,instock
1.0,1,31.5,39,instock
1.0,1,49.0,9,instock
0.0,1,32.2,1,instock
1.0,1,50.1,41,instock
0.0,1,13.4,0,outofstock
0.0,1,11.8,237,instock
0.0,1,13.1,114,instock
